KPI,Value
Total_Revenue,1078670.9794753478
Total_Orders,10000.0
Avg_Order_Value,107.86709794753477
Total_Units_Sold,50065.0
Total_Profit,198274.85464698693
Profit_Margin_Pct,18.38140252400462
Total_Customers,1986.0
Revenue_Per_Customer,543.1374519009807
Avg_Orders_Per_Customer,5.0352467270896275
Repeat_Customers,1912.0
Repeat_Customer_Rate,96.27391742195368
One_Time_Customers,74.0
Total_SKUs,499.0
Avg_Items_Per_Order,5.0065
Avg_Customer_Lifetime_Value,2692.0102936876815
Customer_Acquisition_Cost,50.0
CLV_to_CAC_Ratio,53.84020587375363
Profit_Per_Customer,99.83628129254126
CAC_Payback_Months,4.418770960463141
